Cluster ID,Blast DB,Abundance,Hit ID,Description,E-value,Score
ASC34409, uniref100 , 3 , UniRef100_A8PHV1 , Cluster: Serpin; putative; n=1; Brugia malayi|Rep: Serpin; putative - Brugia malayi (Filarial nematode worm) , 2e-10 , 57 
BMC00322, uniref100 , 3 , UniRef100_A8NTC6 , Cluster: BmSERPIN; putative; n=1; Brugia malayi|Rep: BmSERPIN; putative - Brugia malayi (Filarial nematode worm) , 9e-36 , 152 
BMC05842, uniref100 , 3 , UniRef100_A8PHV4 , Cluster: Serpin; putative; n=1; Brugia malayi|Rep: Serpin; putative - Brugia malayi (Filarial nematode worm) , 2e-38 , 161 
CBC05288, uniref100 , 3 , UniRef100_O17365 , Cluster: Serpin protein 2; n=1; Caenorhabditis elegans|Rep: Serpin protein 2 - Caenorhabditis elegans , 6e-52 , 208 
CRC03193, uniref100 , 3 , UniRef100_A9Z1L1 , Cluster: Serpin protein 7; isoform d; n=2; Caenorhabditis elegans|Rep: Serpin protein 7; isoform d - Caenorhabditis elegans , 5e-70 , 196 
DAC00898, uniref100 , 3 , UniRef100_Q8IS51 , Cluster: Serpin 5; n=1; Ctenocephalides felis|Rep: Serpin 5 - Ctenocephalides felis (Cat flea) , 1e-47 , 126 
NAC01187, uniref100 , 3 , UniRef100_Q5Q124 , Cluster: SERPINB3; n=1; Papio papio|Rep: SERPINB3 - Papio papio (Guinea baboon) , 8e-31 , 137 
OVC00784, uniref100 , 3 , UniRef100_A8PHV3 , Cluster: Serpin; putative; n=1; Brugia malayi|Rep: Serpin; putative - Brugia malayi (Filarial nematode worm) , 6e-59 , 230 
PSC00156, NCBInr , 3 , NP_001023823 , SeRPin family member (srp-7) [Caenorhabditis elegans] gb|AAS13532.1| serine or cysteine protease inhibitor [Caenorhabditis elegans] gb|AAT81198.1| Serpin protein 7; isoform b [Caenorhabditis elegans] , 4e-27 , 124 
SRC03141, uniref100 , 3 , UniRef100_A8F8A0 , Cluster: Proteinase inhibitor I4 serpin precursor; n=1; Thermotoga lettingae TMO|Rep: Proteinase inhibitor I4 serpin precursor - Thermotoga lettingae (strain ATCC BAA-301 / DSM 14385 / TMO) , 3e-39 , 147 
TMC00309, uniref100 , 3 , UniRef100_Q25B54 , Cluster: Serpin 6 precursor; n=1; Branchiostoma lanceolatum|Rep: Serpin 6 precursor - Branchiostoma lanceolatum (Common lancelet) (Amphioxus) , 5e-37 , 158 
TMC00548, uniref100 , 3 , UniRef100_UPI0001758951 , Cluster: PREDICTED: similar to serpin 5; partial; n=1; Tribolium castaneum|Rep: PREDICTED: similar to serpin 5; partial - Tribolium castaneum , 2e-32 , 142 
TSC02268, uniref100 , 3 , UniRef100_Q44SB2 , Cluster: Proteinase inhibitor I4; serpin precursor; n=1; Chlorobium limicola DSM 245|Rep: Proteinase inhibitor I4; serpin precursor - Chlorobium limicola DSM 245 , 8e-27 , 124 
ACC14883, uniref100 , 2 , UniRef100_Q25B53 , Cluster: Serpin 1 precursor; n=1; Branchiostoma lanceolatum|Rep: Serpin 1 precursor - Branchiostoma lanceolatum (Common lancelet) (Amphioxus) , 4e-36 , 155 
ACC14911, uniref100 , 2 , UniRef100_Q53Q31 , Cluster: Putative serpin-Z6A; n=1; Oryza sativa Japonica Group|Rep: Putative serpin-Z6A - Oryza sativa subsp. japonica (Rice) , 7e-10 , 66 
ASC11395, uniref100 , 2 , UniRef100_UPI000155FED7 , Cluster: PREDICTED: similar to serpin peptidase inhibitor; clade B (ovalbumin); member 6; isoform 1; n=1; Equus caballus|Rep: PREDICTED: similar to serpin peptidase inhibitor; clade B (ovalbumin); member 6; isoform 1 - Equus caballus , 2e-28 , 128 
ASC30923, uniref100 , 2 , UniRef100_A8PHV8 , Cluster: Serpin; putative; n=1; Brugia malayi|Rep: Serpin; putative - Brugia malayi (Filarial nematode worm) , 6e-21 , 105 
AYC00203, uniref100 , 2 , UniRef100_A9Z1L1 , Cluster: Serpin protein 7; isoform d; n=2; Caenorhabditis elegans|Rep: Serpin protein 7; isoform d - Caenorhabditis elegans , 5e-32 , 141 
BMC05381, uniref100 , 2 , UniRef100_A8PHV4 , Cluster: Serpin; putative; n=1; Brugia malayi|Rep: Serpin; putative - Brugia malayi (Filarial nematode worm) , 3e-28 , 127 
BMC14515, uniref100 , 2 , UniRef100_A8PHV4 , Cluster: Serpin; putative; n=1; Brugia malayi|Rep: Serpin; putative - Brugia malayi (Filarial nematode worm) , 3e-25 , 118 
BXC03065, uniref100 , 2 , UniRef100_A8PHV4 , Cluster: Serpin; putative; n=1; Brugia malayi|Rep: Serpin; putative - Brugia malayi (Filarial nematode worm) , 8e-21 , 102 
CBC02381, uniref100 , 2 , UniRef100_O17365 , Cluster: Serpin protein 2; n=1; Caenorhabditis elegans|Rep: Serpin protein 2 - Caenorhabditis elegans , 5e-65 , 251 
CJC00681, uniref100 , 2 , UniRef100_A9Z1L1 , Cluster: Serpin protein 7; isoform d; n=2; Caenorhabditis elegans|Rep: Serpin protein 7; isoform d - Caenorhabditis elegans , 7e-38 , 160 
CJC08747, uniref100 , 2 , UniRef100_A9Z1L1 , Cluster: Serpin protein 7; isoform d; n=2; Caenorhabditis elegans|Rep: Serpin protein 7; isoform d - Caenorhabditis elegans , 2e-35 , 152 
CJC09004, uniref100 , 2 , UniRef100_A9Z1L1 , Cluster: Serpin protein 7; isoform d; n=2; Caenorhabditis elegans|Rep: Serpin protein 7; isoform d - Caenorhabditis elegans , 7e-51 , 203 
CJC09763, uniref100 , 2 , UniRef100_O01462 , Cluster: Serpin protein 6; n=1; Caenorhabditis elegans|Rep: Serpin protein 6 - Caenorhabditis elegans , 2e-44 , 183 
CJC09830, uniref100 , 2 , UniRef100_O01461 , Cluster: Serpin protein 5; n=1; Caenorhabditis elegans|Rep: Serpin protein 5 - Caenorhabditis elegans , 4e-26 , 120 
DAC00019, uniref100 , 2 , UniRef100_UPI00015B561E , Cluster: PREDICTED: similar to serpin 6; n=1; Nasonia vitripennis|Rep: PREDICTED: similar to serpin 6 - Nasonia vitripennis , 6e-09 , 63 
HBC23961, uniref100 , 2 , UniRef100_A9Z1L1 , Cluster: Serpin protein 7; isoform d; n=2; Caenorhabditis elegans|Rep: Serpin protein 7; isoform d - Caenorhabditis elegans , 1e-38 , 162 
PPC16544, uniref100 , 2 , UniRef100_O01462 , Cluster: Serpin protein 6; n=1; Caenorhabditis elegans|Rep: Serpin protein 6 - Caenorhabditis elegans , 2e-22 , 108 
SRC02869, uniref100 , 2 , UniRef100_Q6UKZ2 , Cluster: Serpinb3b (Serine (Or cysteine) peptidase inhibitor; clade B (Ovalbumin); member 3B); n=1; Mus musculus|Rep: Serpinb3b (Serine (Or cysteine) peptidase inhibitor; clade B (Ovalbumin); member 3B) - Mus musculus (Mouse) , 2e-19 , 99 
WBC01879, uniref100 , 2 , UniRef100_A8NTX7 , Cluster: Serpin; putative; n=1; Brugia malayi|Rep: Serpin; putative - Brugia malayi (Filarial nematode worm) , 5e-60 , 234 
XIC02162, uniref100 , 2 , UniRef100_Q5Q124 , Cluster: SERPINB3; n=1; Papio papio|Rep: SERPINB3 - Papio papio (Guinea baboon) , 5e-17 , 92 
XIC03784, uniref100 , 2 , UniRef100_Q0IEW3 , Cluster: Serine protease inhibitor 4; serpin-4; n=1; Aedes aegypti|Rep: Serine protease inhibitor 4; serpin-4 - Aedes aegypti (Yellowfever mosquito) , 1e-26 , 105 
ACC06964, uniref100 , 1 , UniRef100_O01462 , Cluster: Serpin protein 6; n=1; Caenorhabditis elegans|Rep: Serpin protein 6 - Caenorhabditis elegans , 7e-13 , 76 
ACC19553, uniref100 , 1 , UniRef100_Q9BPM9 , Cluster: Serpin protein 3; n=1; Caenorhabditis elegans|Rep: Serpin protein 3 - Caenorhabditis elegans , 2e-28 , 127 
ALC00395, uniref100 , 1 , UniRef100_Q7Z021 , Cluster: Serpin; n=1; Rhipicephalus microplus|Rep: Serpin - Boophilus microplus (Cattle tick) , 4e-10 , 67 
ALC00443, uniref100 , 1 , UniRef100_Q86QW2 , Cluster: Serpin; n=1; Ctenocephalides felis|Rep: Serpin - Ctenocephalides felis (Cat flea) , 3e-26 , 121 
ASC08161, uniref100 , 1 , UniRef100_B2EIE8 , Cluster: Proteinase inhibitor I4 serpin; n=1; bacterium Ellin514|Rep: Proteinase inhibitor I4 serpin - bacterium Ellin514 , 4e-21 , 103 
ASC40328, uniref100 , 1 , UniRef100_A8F8A0 , Cluster: Proteinase inhibitor I4 serpin precursor; n=1; Thermotoga lettingae TMO|Rep: Proteinase inhibitor I4 serpin precursor - Thermotoga lettingae (strain ATCC BAA-301 / DSM 14385 / TMO) , 2e-14 , 82 
AYC01670, uniref100 , 1 , UniRef100_O17365 , Cluster: Serpin protein 2; n=1; Caenorhabditis elegans|Rep: Serpin protein 2 - Caenorhabditis elegans , 1e-35 , 152 
AYC01983, uniref100 , 1 , UniRef100_O01462 , Cluster: Serpin protein 6; n=1; Caenorhabditis elegans|Rep: Serpin protein 6 - Caenorhabditis elegans , 2e-27 , 125 
AYC02895, uniref100 , 1 , UniRef100_O17365 , Cluster: Serpin protein 2; n=1; Caenorhabditis elegans|Rep: Serpin protein 2 - Caenorhabditis elegans , 5e-32 , 140 
BMC07166, uniref100 , 1 , UniRef100_Q60854 , Cluster: Serpin B6; n=2; Mus musculus|Rep: Serpin B6 - Mus musculus (Mouse) , 6e-54 , 212 
BMC07990, uniref100 , 1 , UniRef100_Q91X22 , Cluster: Serpina1b protein; n=1; Mus musculus|Rep: Serpina1b protein - Mus musculus (Mouse) , 4e-17 , 90 
BMC12500, uniref100 , 1 , UniRef100_A8P7H0 , Cluster: Serpin; putative; n=1; Brugia malayi|Rep: Serpin; putative - Brugia malayi (Filarial nematode worm) , 1e-05 , 52 
BMC14628, uniref100 , 1 , UniRef100_A8NTC6 , Cluster: BmSERPIN; putative; n=1; Brugia malayi|Rep: BmSERPIN; putative - Brugia malayi (Filarial nematode worm) , 1e-08 , 56 
BMC18349, uniref100 , 1 , UniRef100_Q17158 , Cluster: BmSERPIN; n=1; Brugia malayi|Rep: BmSERPIN - Brugia malayi (Filarial nematode worm) , 4e-09 , 64 
CBC14569, uniref100 , 1 , UniRef100_Q9BPM9 , Cluster: Serpin protein 3; n=1; Caenorhabditis elegans|Rep: Serpin protein 3 - Caenorhabditis elegans , 8e-25 , 70 
CBC16814, uniref100 , 1 , UniRef100_A9Z1L1 , Cluster: Serpin protein 7; isoform d; n=2; Caenorhabditis elegans|Rep: Serpin protein 7; isoform d - Caenorhabditis elegans , 2e-38 , 98 
CJC04067, uniref100 , 1 , UniRef100_A9Z1L1 , Cluster: Serpin protein 7; isoform d; n=2; Caenorhabditis elegans|Rep: Serpin protein 7; isoform d - Caenorhabditis elegans , 1e-09 , 65 
CJC05228, uniref100 , 1 , UniRef100_O01462 , Cluster: Serpin protein 6; n=1; Caenorhabditis elegans|Rep: Serpin protein 6 - Caenorhabditis elegans , 7e-73 , 276 
CJC06843, uniref100 , 1 , UniRef100_Q9BPM9 , Cluster: Serpin protein 3; n=1; Caenorhabditis elegans|Rep: Serpin protein 3 - Caenorhabditis elegans , 2e-29 , 132 
CRC06301, uniref100 , 1 , UniRef100_O01462 , Cluster: Serpin protein 6; n=1; Caenorhabditis elegans|Rep: Serpin protein 6 - Caenorhabditis elegans , 5e-49 , 196 
CRC07512, uniref100 , 1 , UniRef100_O17362 , Cluster: Serpin protein 1; n=1; Caenorhabditis elegans|Rep: Serpin protein 1 - Caenorhabditis elegans , 1e-103 , 378 
CSC00197, uniref100 , 1 , UniRef100_O17365 , Cluster: Serpin protein 2; n=1; Caenorhabditis elegans|Rep: Serpin protein 2 - Caenorhabditis elegans , 7e-12 , 73 
CSC00354, uniref100 , 1 , UniRef100_A9Z1L1 , Cluster: Serpin protein 7; isoform d; n=2; Caenorhabditis elegans|Rep: Serpin protein 7; isoform d - Caenorhabditis elegans , 8e-33 , 96 
DIC00979, uniref100 , 1 , UniRef100_A8NTX7 , Cluster: Serpin; putative; n=1; Brugia malayi|Rep: Serpin; putative - Brugia malayi (Filarial nematode worm) , 2e-30 , 134 
GPC01956, uniref100 , 1 , UniRef100_Q8IS52 , Cluster: Serpin 6; n=1; Ctenocephalides felis|Rep: Serpin 6 - Ctenocephalides felis (Cat flea) , 8e-16 , 86 
GRC02208, uniref100 , 1 , UniRef100_A8NTX7 , Cluster: Serpin; putative; n=1; Brugia malayi|Rep: Serpin; putative - Brugia malayi (Filarial nematode worm) , 9e-24 , 112 
HCC01709, uniref100 , 1 , UniRef100_UPI00015B561E , Cluster: PREDICTED: similar to serpin 6; n=1; Nasonia vitripennis|Rep: PREDICTED: similar to serpin 6 - Nasonia vitripennis , 3e-12 , 74 
HCC02770, uniref100 , 1 , UniRef100_O01462 , Cluster: Serpin protein 6; n=1; Caenorhabditis elegans|Rep: Serpin protein 6 - Caenorhabditis elegans , 2e-12 , 62 
HCC12494, uniref100 , 1 , UniRef100_O17365 , Cluster: Serpin protein 2; n=1; Caenorhabditis elegans|Rep: Serpin protein 2 - Caenorhabditis elegans , 1e-19 , 80 
HGC11648, uniref100 , 1 , UniRef100_A8PHV3 , Cluster: Serpin; putative; n=1; Brugia malayi|Rep: Serpin; putative - Brugia malayi (Filarial nematode worm) , 5e-09 , 64 
HSC01119, uniref100 , 1 , UniRef100_A8P7H0 , Cluster: Serpin; putative; n=1; Brugia malayi|Rep: Serpin; putative - Brugia malayi (Filarial nematode worm) , 1e-18 , 95 
MJC03911, uniref100 , 1 , UniRef100_UPI0000D56CA8 , Cluster: PREDICTED: similar to serpin; n=1; Tribolium castaneum|Rep: PREDICTED: similar to serpin - Tribolium castaneum , 1e-19 , 99 
NAC00704, uniref100 , 1 , UniRef100_Q9BPM9 , Cluster: Serpin protein 3; n=1; Caenorhabditis elegans|Rep: Serpin protein 3 - Caenorhabditis elegans , 7e-10 , 66 
NAC01943, uniref100 , 1 , UniRef100_UPI0000EB0092 , Cluster: Serpin B6 (Placental thrombin inhibitor) (Cytoplasmic antiproteinase) (CAP) (Proteinase inhibitor 6) (PI-6).; n=1; Canis lupus familiaris|Rep: Serpin B6 (Placental thrombin inhibitor) (Cytoplasmic antiproteinase) (CAP) (Proteinase inhibitor 6) (PI-6). - Canis familiaris , 5e-13 , 77 
OCC00034, uniref100 , 1 , UniRef100_A8NTX7 , Cluster: Serpin; putative; n=1; Brugia malayi|Rep: Serpin; putative - Brugia malayi (Filarial nematode worm) , 7e-50 , 199 
ODC00013, uniref100 , 1 , UniRef100_Q9BPM9 , Cluster: Serpin protein 3; n=1; Caenorhabditis elegans|Rep: Serpin protein 3 - Caenorhabditis elegans , 2e-16 , 88 
OFC00296, uniref100 , 1 , UniRef100_A8NJS8 , Cluster: Serpin (BmSERPIN); putative; n=1; Brugia malayi|Rep: Serpin (BmSERPIN); putative - Brugia malayi (Filarial nematode worm) , 1e-14 , 82 
PTC01468, uniref100 , 1 , UniRef100_A8PHV4 , Cluster: Serpin; putative; n=1; Brugia malayi|Rep: Serpin; putative - Brugia malayi (Filarial nematode worm) , 6e-09 , 63 
PVC03989, uniref100 , 1 , UniRef100_B2ENQ3 , Cluster: Proteinase inhibitor I4 serpin; n=1; bacterium Ellin514|Rep: Proteinase inhibitor I4 serpin - bacterium Ellin514 , 1e-22 , 109 
SSC00681, uniref100 , 1 , UniRef100_B2ENQ4 , Cluster: Proteinase inhibitor I4 serpin precursor; n=1; bacterium Ellin514|Rep: Proteinase inhibitor I4 serpin precursor - bacterium Ellin514 , 9e-15 , 82 
SSC01233, uniref100 , 1 , UniRef100_Q0IEW1 , Cluster: Serine protease inhibitor 4; serpin-4; n=1; Aedes aegypti|Rep: Serine protease inhibitor 4; serpin-4 - Aedes aegypti (Yellowfever mosquito) , 4e-11 , 70 
TDC00560, uniref100 , 1 , UniRef100_O01462 , Cluster: Serpin protein 6; n=1; Caenorhabditis elegans|Rep: Serpin protein 6 - Caenorhabditis elegans , 7e-24 , 114 
TDC03191, uniref100 , 1 , UniRef100_O01462 , Cluster: Serpin protein 6; n=1; Caenorhabditis elegans|Rep: Serpin protein 6 - Caenorhabditis elegans , 9e-18 , 92 
TMC00297, uniref100 , 1 , UniRef100_UPI0001758951 , Cluster: PREDICTED: similar to serpin 5; partial; n=1; Tribolium castaneum|Rep: PREDICTED: similar to serpin 5; partial - Tribolium castaneum , 4e-30 , 134 
WBC02254, uniref100 , 1 , UniRef100_A8Q733 , Cluster: Serpin protein 6; putative; n=1; Brugia malayi|Rep: Serpin protein 6; putative - Brugia malayi (Filarial nematode worm) , 9e-57 , 222 
XIC01810, uniref100 , 1 , UniRef100_Q7K8Y5 , Cluster: Serpin 4; n=2; Drosophila melanogaster|Rep: Serpin 4 - Drosophila melanogaster (Fruit fly) , 3e-44 , 182 
XIC02613, uniref100 , 1 , UniRef100_UPI000155EB70 , Cluster: PREDICTED: similar to SERPINB11d; n=1; Equus caballus|Rep: PREDICTED: similar to SERPINB11d - Equus caballus , 3e-21 , 104 
XIC02696, uniref100 , 1 , UniRef100_A8F8A0 , Cluster: Proteinase inhibitor I4 serpin precursor; n=1; Thermotoga lettingae TMO|Rep: Proteinase inhibitor I4 serpin precursor - Thermotoga lettingae (strain ATCC BAA-301 / DSM 14385 / TMO) , 1e-24 , 89 
XIC03557, uniref100 , 1 , UniRef100_Q7K8Y5 , Cluster: Serpin 4; n=2; Drosophila melanogaster|Rep: Serpin 4 - Drosophila melanogaster (Fruit fly) , 6e-28 , 127 
